City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Russell,US,32.35,-85.2,73.4,100,90,1.7,07/16/20
Erenhot,CN,43.65,111.98,93.58,19,99,17.0,07/16/20
Craig,US,40.52,-107.55,59.0,58,1,2.93,07/16/20
Omsukchan,RU,62.53,155.8,58.33,52,91,1.92,07/16/20
Bignona,SN,12.81,-16.23,78.8,94,40,2.24,07/16/20
Tyul'gan,RU,52.34,56.17,92.55,29,17,10.58,07/16/20
Boa Vista,BR,2.82,-60.67,77.0,88,99,1.12,07/16/20
Biak,ID,-0.91,122.88,78.21,83,90,6.06,07/16/20
Bousso,TD,10.48,16.71,81.68,72,97,4.29,07/16/20
Itoman,JP,26.12,127.67,77.0,94,75,9.17,07/16/20
Pailón,BO,-17.65,-62.75,66.2,88,75,6.93,07/16/20
Valparaíso,CL,-33.04,-71.63,50.0,87,90,4.7,07/16/20
Anchorage,US,61.22,-149.9,63.0,63,1,2.57,07/16/20
Poplar Bluff,US,36.76,-90.39,79.0,83,20,3.36,07/16/20
Suntar,RU,62.14,117.63,77.7,54,19,7.14,07/16/20
Dudinka,RU,69.41,86.18,53.6,71,75,15.66,07/16/20
Muğla Province,TR,37.23,28.36,82.4,45,0,6.93,07/16/20
Siilinjärvi,FI,63.08,27.67,64.4,55,33,6.93,07/16/20
Buraidah,SA,26.33,43.98,102.2,20,0,9.17,07/16/20
Warragul,AU,-38.17,145.93,51.01,79,55,1.99,07/16/20
Dongsheng,CN,39.82,109.98,78.55,45,97,10.0,07/16/20
Celina,US,40.55,-84.57,75.2,69,75,4.7,07/16/20
Cap Malheureux,MU,-19.98,57.61,75.2,64,40,11.41,07/16/20
Port Moresby,PG,-9.44,147.18,80.6,83,75,17.22,07/16/20
Huarmey,PE,-10.07,-78.15,60.84,84,87,6.85,07/16/20
Olinda,BR,-8.01,-34.86,75.2,88,75,6.93,07/16/20
Moguer,ES,37.28,-6.84,79.0,47,82,8.01,07/16/20
Ormara,PK,25.21,64.64,85.59,77,99,12.24,07/16/20
Kruisfontein,ZA,-34.0,24.73,56.68,35,0,3.91,07/16/20
Egvekinot,RU,66.32,-179.17,51.4,83,96,3.33,07/16/20
Koubia,GN,11.58,-11.9,69.22,94,90,4.7,07/16/20
Semikarakorsk,RU,47.52,40.81,78.8,31,0,4.47,07/16/20
Khovd,MN,48.01,91.64,72.05,37,1,10.22,07/16/20
Hamilton,US,39.18,-84.53,80.6,57,90,12.75,07/16/20
Shihezi,CN,44.3,86.03,94.32,16,35,10.56,07/16/20
Bowen,AU,-20.02,148.23,63.0,59,0,8.21,07/16/20
Ransang,PH,8.96,117.58,85.23,65,98,1.54,07/16/20
Salamiyah,SY,35.01,37.05,94.42,22,0,8.88,07/16/20
Jieshi,CN,22.81,115.83,86.5,75,74,17.25,07/16/20
Bairiki Village,KI,1.33,172.98,82.4,74,40,4.7,07/16/20
São Desidério,BR,-12.36,-44.97,62.91,72,0,4.81,07/16/20
Cap-aux-Meules,CA,47.38,-61.86,58.48,75,0,14.79,07/16/20
Sambek,RU,47.74,39.83,78.8,31,0,4.47,07/16/20
Nanning,CN,22.82,108.32,95.0,53,20,13.42,07/16/20
Ligayan,PH,4.65,119.47,76.59,90,100,15.52,07/16/20
Ilulissat,GL,69.22,-51.1,44.6,75,7,3.36,07/16/20
Highland,US,34.13,-117.21,68.0,64,1,4.7,07/16/20
Ambulu,ID,-8.35,113.61,82.51,70,67,9.51,07/16/20
Pangai,TO,-19.8,-174.35,76.64,77,100,20.36,07/16/20
Bambanglipuro,ID,-7.95,110.28,83.53,69,5,15.86,07/16/20
‘Āhuimanu,US,21.44,-157.84,78.8,69,90,10.29,07/16/20
Baculin,PH,7.45,126.58,83.03,73,38,5.37,07/16/20
Lexington,US,37.99,-84.48,78.01,69,1,9.17,07/16/20
Coquimbo,CL,-29.95,-71.34,48.2,87,93,3.36,07/16/20
Yangliuqing,CN,39.14,117.0,93.2,38,40,8.95,07/16/20
Kavaratti,IN,10.57,72.64,82.4,83,90,9.17,07/16/20
São Miguel do Araguaia,BR,-13.28,-50.16,66.67,40,0,6.67,07/16/20
Vardø,NO,70.37,31.11,62.6,67,0,24.16,07/16/20
Wairoa,NZ,-39.03,177.37,48.69,89,100,7.16,07/16/20
Baykit,RU,61.67,96.37,64.71,47,100,11.77,07/16/20
Paamiut,GL,61.99,-49.67,44.24,74,100,16.33,07/16/20
Dawei,MM,14.08,98.2,82.49,80,98,7.16,07/16/20
Plaster Rock,CA,46.91,-67.39,50.0,76,1,2.53,07/16/20
Lagoa,PT,39.05,-27.98,67.17,76,100,12.17,07/16/20
Tuatapere,NZ,-46.13,167.68,39.31,85,86,3.15,07/16/20
Gull Lake,CA,50.1,-108.48,51.8,93,1,8.05,07/16/20
Cam Ranh,VN,11.92,109.16,95.0,56,20,17.22,07/16/20
Coromandel,BR,-18.47,-47.2,61.72,62,23,7.27,07/16/20
Ürümqi,CN,43.8,87.6,87.8,25,20,8.95,07/16/20
Krasnyy Profintern,RU,57.74,40.44,59.0,93,90,6.71,07/16/20
Maple Creek,CA,49.92,-109.48,56.5,75,39,2.82,07/16/20
Ahipara,NZ,-35.17,173.17,58.86,91,100,6.64,07/16/20
Forsytheganj,BY,52.63,29.73,67.51,57,92,6.17,07/16/20
Fosforitnyy,RU,55.33,38.9,60.8,87,75,11.18,07/16/20
San Angelo,US,31.46,-100.44,84.2,39,1,9.17,07/16/20
Jumla,NP,29.27,82.18,73.0,93,95,4.92,07/16/20
Mankono,CI,8.06,-6.19,70.75,85,66,7.09,07/16/20
Polunochnoye,RU,60.87,60.42,90.64,43,0,5.7,07/16/20
Copiapó,CL,-27.37,-70.33,48.2,93,0,3.36,07/16/20
Agüimes,ES,27.91,-15.45,71.6,78,20,21.92,07/16/20
Quatre Cocos,MU,-20.21,57.76,75.2,64,40,11.41,07/16/20
Havre-St-Pierre,CA,50.23,-63.6,46.4,93,1,3.36,07/16/20
Hervey Bay,AU,-25.3,152.85,66.0,35,0,5.01,07/16/20
Makakilo City,US,21.35,-158.09,78.8,69,32,3.36,07/16/20
Port Macquarie,AU,-31.43,152.92,59.0,67,89,1.01,07/16/20
Mersing,MY,2.43,103.84,89.6,75,20,8.05,07/16/20
Kirkuk,IQ,35.47,44.39,107.78,11,0,14.03,07/16/20
Mandera,KE,3.94,41.87,84.24,46,100,19.06,07/16/20
Snåase,NO,64.25,12.38,66.2,72,0,9.17,07/16/20
Kamra,PK,33.75,73.51,104.0,28,13,4.0,07/16/20
Teguise,ES,29.06,-13.56,69.8,83,20,18.34,07/16/20
Kaeo,NZ,-35.1,173.78,57.99,3,100,3.11,07/16/20
Babu,CN,24.42,111.52,92.73,54,91,4.41,07/16/20
Oliveira dos Brejinhos,BR,-12.32,-42.9,63.39,79,0,4.97,07/16/20
Ozinki,RU,51.18,49.68,72.61,59,100,10.0,07/16/20
Kholm-Zhirkovskiy,RU,55.52,33.47,54.43,94,100,11.32,07/16/20
Erzin,TR,36.96,36.2,89.6,66,43,14.99,07/16/20
Fremont,US,37.55,-121.99,60.8,82,40,1.83,07/16/20
Quelimane,MZ,-17.88,36.89,71.28,57,74,12.84,07/16/20
San Jerónimo,PE,-11.95,-75.28,45.46,73,51,0.36,07/16/20
Sampit,ID,-2.53,112.95,82.42,83,55,5.39,07/16/20
Dingle,PH,11.0,122.67,85.39,74,100,9.24,07/16/20
Nishihara,JP,26.18,127.76,77.0,94,75,9.17,07/16/20
Birao,CF,10.28,22.79,73.42,90,100,4.27,07/16/20
Goundam,ML,16.41,-3.67,81.72,62,79,5.7,07/16/20
Sambrial,PK,32.47,74.35,89.6,55,40,6.93,07/16/20
Kayerkan,RU,69.35,87.76,53.6,71,75,15.66,07/16/20
Chikwawa,MW,-16.03,34.8,70.02,49,33,13.29,07/16/20
Usogorsk,RU,63.41,48.69,58.35,68,98,11.45,07/16/20
Zhezkazgan,KZ,47.8,67.71,91.4,21,0,20.13,07/16/20
Guánica,PR,17.97,-66.91,77.0,93,3,5.84,07/16/20
Aquidauana,BR,-20.47,-55.79,75.4,52,85,5.41,07/16/20
Asahi,JP,35.72,140.65,72.0,78,75,6.93,07/16/20
Ostrovnoy,RU,68.05,39.51,63.1,52,72,2.51,07/16/20
Kinablangan,PH,7.69,126.55,83.73,71,35,5.35,07/16/20
Hatillo,PR,18.49,-66.83,77.0,93,0,1.99,07/16/20
Laguna de Perlas,NI,12.34,-83.67,79.05,86,100,12.37,07/16/20
Chunhuhub,MX,19.55,-88.68,74.17,99,25,2.04,07/16/20
Toppenish,US,46.38,-120.31,79.0,60,1,3.36,07/16/20
Novo Aripuanã,BR,-5.12,-60.38,70.88,74,0,0.25,07/16/20
Ilhéus,BR,-14.79,-39.05,67.35,89,52,5.55,07/16/20
Aksarayskiy,RU,46.79,48.01,87.8,25,100,15.66,07/16/20
Jinchang,CN,38.5,102.17,71.98,44,100,10.09,07/16/20
Muravlenko,RU,63.79,74.52,64.33,52,0,16.87,07/16/20
Kaohsiung City,TW,22.62,120.31,84.2,89,75,10.29,07/16/20
Lorengau,PG,-2.02,147.27,83.59,69,37,6.91,07/16/20
Ketchikan,US,55.34,-131.65,55.4,100,90,6.93,07/16/20
Los Llanos de Aridane,ES,28.66,-17.92,69.8,73,75,10.29,07/16/20
Mogadishu,SO,2.04,45.34,82.4,65,40,13.87,07/16/20
Mayumba,GA,-3.43,10.66,74.62,76,34,2.04,07/16/20
Kiryat Gat,IL,31.61,34.76,84.0,60,0,1.99,07/16/20
Finschhafen,PG,-6.6,147.87,80.11,80,11,6.89,07/16/20
Leshukonskoye,RU,64.9,45.76,56.88,58,99,9.01,07/16/20
Pathein,MM,16.78,94.73,86.29,73,99,12.82,07/16/20
San Patricio,MX,19.22,-104.7,78.3,82,99,2.77,07/16/20
Pahrump,US,36.21,-115.98,78.01,16,0,3.0,07/16/20
Misawa,JP,40.68,141.36,64.4,77,75,12.75,07/16/20
Te Anau,NZ,-45.42,167.72,31.5,96,50,1.57,07/16/20
Kholm,RU,59.27,32.85,56.35,87,100,9.71,07/16/20
Ishigaki,JP,24.34,124.16,89.6,75,75,20.8,07/16/20
Pimentel,PE,-6.84,-79.93,60.82,92,37,10.78,07/16/20
Vestmannaeyjar,IS,63.44,-20.27,50.0,93,90,18.34,07/16/20
Kawardha,IN,22.02,81.25,92.41,47,61,6.24,07/16/20
Shimoda,JP,34.67,138.95,75.2,78,75,3.36,07/16/20
Port-Cartier,CA,50.03,-66.87,53.01,76,20,5.82,07/16/20
Dawson,US,31.77,-84.45,75.2,100,1,3.36,07/16/20
Chipinge,ZW,-20.19,32.62,52.59,65,90,9.6,07/16/20
Oudtshoorn,ZA,-33.59,22.2,51.8,57,0,1.12,07/16/20
Sablé-sur-Sarthe,FR,47.84,-0.33,62.6,72,90,4.7,07/16/20
Stornoway,GB,58.21,-6.39,59.0,93,75,11.41,07/16/20
Gambēla,ET,8.25,34.58,77.61,86,99,1.61,07/16/20
Wadi Maliz,TN,36.47,8.55,77.0,57,40,2.24,07/16/20
Ichinohe,JP,40.21,141.3,64.4,77,75,12.75,07/16/20
Carthage,TN,36.86,10.33,78.8,54,0,6.93,07/16/20
Abhā,SA,18.22,42.51,84.2,17,40,8.05,07/16/20
Morant Bay,JM,17.88,-76.41,82.4,83,20,4.7,07/16/20
Bogandé,BF,12.97,-0.14,78.4,72,100,11.81,07/16/20
Seoul,KR,37.57,126.98,86.0,54,75,4.7,07/16/20
Cayhagan,PH,9.67,122.43,84.18,72,95,1.99,07/16/20
Karratha,AU,-20.74,116.85,76.86,29,0,14.74,07/16/20
Yar-Sale,RU,66.83,70.83,58.69,50,61,13.82,07/16/20
Ugoofaaru,MV,5.67,73.0,84.02,76,100,13.42,07/16/20
San Miguel de Cozumel,MX,20.51,-86.95,82.4,88,20,5.82,07/16/20
Pringsewu,ID,-5.36,104.97,85.15,72,23,7.34,07/16/20
San Miguel de Tucumán,AR,-26.82,-65.22,50.0,76,0,1.88,07/16/20
Kharod,IN,21.75,82.57,94.57,46,47,3.51,07/16/20
Isangel,VU,-19.55,169.27,72.73,76,7,2.28,07/16/20
Wanning,CN,18.8,110.4,88.7,69,81,15.05,07/16/20
Nouakchott,MR,18.09,-15.98,73.4,83,40,4.7,07/16/20
Nicoya,CR,10.15,-85.45,72.32,93,56,1.48,07/16/20
Biltine,TD,14.53,20.92,82.17,56,100,11.05,07/16/20
Peniche,PT,39.36,-9.38,69.01,78,0,5.14,07/16/20
Mareeba,AU,-17.0,145.43,71.6,46,0,12.75,07/16/20
Dryden,CA,49.78,-92.75,62.6,72,1,9.17,07/16/20
Mossamedes,AO,-15.2,12.15,79.38,17,0,16.6,07/16/20
Sindor,RU,62.86,51.89,55.18,82,99,9.73,07/16/20
Sakakah,SA,29.97,40.21,102.2,8,0,4.7,07/16/20
Acajutla,SV,13.59,-89.83,79.68,67,82,4.65,07/16/20
Haileybury,CA,47.45,-79.64,62.6,100,90,6.93,07/16/20
Necochea,AR,-38.55,-58.74,39.99,83,96,8.99,07/16/20
Yulara,AU,-25.24,130.99,68.0,19,0,9.17,07/16/20
Barrhead,GB,55.8,-4.39,57.99,93,90,9.17,07/16/20
Hobyo,SO,5.35,48.53,85.84,56,100,26.22,07/16/20
Hāflong,IN,25.18,93.03,88.39,62,13,5.32,07/16/20
Isla Mujeres,MX,21.23,-86.73,84.0,88,20,5.82,07/16/20
Molochnoye,RU,59.29,39.68,58.91,88,85,11.32,07/16/20
Ejido,VE,8.55,-71.24,63.75,61,100,6.42,07/16/20
Shaunavon,CA,49.65,-108.42,57.79,65,96,8.12,07/16/20
Santa Marinella,IT,42.03,11.85,72.0,66,0,5.35,07/16/20
Pontianak,ID,-0.03,109.33,85.59,69,35,6.06,07/16/20
Port Augusta,AU,-32.5,137.77,59.0,58,0,5.82,07/16/20
Ode,NG,7.79,5.71,68.11,96,99,6.51,07/16/20
Mogocha,RU,53.73,119.77,78.91,54,99,1.45,07/16/20
Pangkalanbuun,ID,-2.68,111.62,86.04,67,61,4.59,07/16/20
Mezen',RU,65.85,44.24,61.61,49,85,9.66,07/16/20
Cabedelo,BR,-6.98,-34.83,75.36,84,76,11.83,07/16/20
Batagay-Alyta,RU,67.8,130.41,55.72,47,83,2.84,07/16/20
Ha Tinh,VN,18.33,105.9,94.6,49,100,11.05,07/16/20
Yur’yevets,RU,57.32,43.1,60.46,80,97,17.0,07/16/20
Mabaruma,GY,8.2,-59.78,72.5,99,7,1.45,07/16/20
Esperance,AU,-33.87,121.9,69.26,60,16,13.62,07/16/20
Praia da Vitória,PT,38.73,-27.07,68.0,88,75,10.04,07/16/20
Orgtrud,RU,56.18,40.61,59.83,90,100,12.41,07/16/20
Chany,RU,55.31,76.76,78.91,55,1,4.54,07/16/20
Boyolangu,ID,-8.12,111.89,80.11,76,56,8.63,07/16/20
Mirny,RU,62.54,113.96,64.4,63,75,8.95,07/16/20
Søvik,NO,65.93,12.47,64.4,82,18,3.36,07/16/20
Birin,NP,26.89,88.07,72.1,96,87,3.42,07/16/20
Grand Gaube,MU,-20.01,57.66,75.2,64,40,11.41,07/16/20
Macapá,BR,0.04,-51.07,78.8,100,40,11.41,07/16/20
Selenduma,RU,50.91,106.24,61.81,60,100,6.93,07/16/20
Koslan,RU,63.46,48.9,58.68,66,95,11.43,07/16/20
